:ID,id,type,label,classification,content,sequence:long,created_at,active:boolean,retrieval_tags,:LABEL
CONTEXT-DB12DE90,CONTEXT-DB12DE90,SESSION_DOC,Current session transcript,CONTEXT,"Current chat session includes kernel initialization, consolidation, verification, and patch review.",1,2026-06-21T13:13:31.496992+00:00,true,"[""session"", ""transcript""]",CONTEXT
OUTPUT-650320FB,OUTPUT-650320FB,DOC,Brain Computer v2 module,OUTPUT,"Cleaned operational module with hashing, import/export, retrieval, and supersession.",3,2026-06-21T13:13:31.497158+00:00,true,"[""module"", ""v2""]",OUTPUT
OUTPUT-E59C979C,OUTPUT-E59C979C,DOC,Test harness,OUTPUT,Expanded deterministic harness with positive and negative-path tests.,5,2026-06-21T13:13:31.497191+00:00,true,"[""harness"", ""tests""]",OUTPUT
OUTPUT-1BC667B1,OUTPUT-1BC667B1,DOC,Verified export,OUTPUT,Canonical verified state export with hash envelope.,7,2026-06-21T13:13:31.497215+00:00,true,"[""verification"", ""export""]",OUTPUT
OUTPUT-4A15D173,OUTPUT-4A15D173,DOC,Working document,OUTPUT,Consolidated review document and status summary.,9,2026-06-21T13:13:31.497314+00:00,true,"[""document"", ""status""]",OUTPUT
OUTPUT-71969AA5,OUTPUT-71969AA5,DOC,Ingested state,OUTPUT,Bootstrap state with 23 nodes and 17 edges.,11,2026-06-21T13:13:31.497341+00:00,true,"[""state"", ""bootstrap""]",OUTPUT
OUTPUT-8829D846,OUTPUT-8829D846,DOC,Hash artifact,OUTPUT,Canonical SHA-256 digest of verified state projection.,13,2026-06-21T13:13:31.497363+00:00,true,"[""hash"", ""canonical""]",OUTPUT
OUTPUT-F75E1B5F,OUTPUT-F75E1B5F,DOC,Harness results,OUTPUT,Six passing tests in deterministic harness.,15,2026-06-21T13:13:31.497390+00:00,true,"[""results"", ""tests""]",OUTPUT
CONSTRAINT-2A623202,CONSTRAINT-2A623202,CONSTRAINT,Zero authority rule,CONSTRAINT,Organizational only; do not assert truth; preserve contradictions.,17,2026-06-21T13:13:31.497412+00:00,true,"[""zero-authority""]",CONSTRAINT
CONSTRAINT-32069379,CONSTRAINT-32069379,CONSTRAINT,Append-only ledger rule,CONSTRAINT,Record every structural change as an immutable ledger event.,19,2026-06-21T13:13:31.497433+00:00,false,"[""append-only"", ""ledger""]",CONSTRAINT
CONSTRAINT-8F5FBFB0,CONSTRAINT-8F5FBFB0,CONSTRAINT,Retrieval policy,CONSTRAINT,Foundation anchors plus one-hop expansion while preserving contradictions.,21,2026-06-21T13:13:31.497533+00:00,true,"[""retrieval"", ""policy""]",CONSTRAINT
GOAL-62683A08,GOAL-62683A08,GOAL,Build operational V2,GOAL,Consolidate all patches into one operational Brain Computer v2 package.,23,2026-06-21T13:13:31.497561+00:00,true,"[""goal"", ""consolidate""]",GOAL
NEXT_STEP-9CF5190D,NEXT_STEP-9CF5190D,NEXT_STEP,Finalize verification,NEXT_STEP,Confirm canonical hash from full file and keep sequence continuity synchronized.,25,2026-06-21T13:13:31.497607+00:00,true,"[""next-step"", ""verification""]",NEXT_STEP
LESSON-F95D0A6B,LESSON-F95D0A6B,LESSON,Sequence counters share ledger,LESSON,Odd node sequences are expected because ledger events consume even sequence numbers too.,27,2026-06-21T13:13:31.497638+00:00,true,"[""sequence"", ""lesson""]",LESSON
OBSERVATION-FCE45236,OBSERVATION-FCE45236,OBSERVATION,Verified export lacks _sequence,OBSERVATION,Runtime _sequence is restored via _sync_sequence() during import.,29,2026-06-21T13:13:31.497805+00:00,true,"[""observation"", ""import""]",OBSERVATION
RISK-7490D74F,RISK-7490D74F,RISK,Truncation risk,RISK,Partial artifact paste cannot verify full envelope or hash.,31,2026-06-21T13:13:31.497850+00:00,true,"[""truncation"", ""risk""]",RISK
RISK-3CC68314,RISK-3CC68314,RISK,Schema drift risk,RISK,Incremental patches may diverge without final cleanup pass.,33,2026-06-21T13:13:31.497882+00:00,true,"[""schema-drift"", ""risk""]",RISK
ROLE-03C97715,ROLE-03C97715,ROLE,Brain Computer v2 Kernel,ROLE,Append-only deterministic topological memory substrate.,35,2026-06-21T13:13:31.497906+00:00,true,"[""role"", ""kernel""]",ROLE
CONSTRAINT-C03,CONSTRAINT-C03,CONSTRAINT_SPEC,Append-only ledger canonical,CONSTRAINT,Ledger is append only and records what changed and why.,56,2026-06-21T13:39:55.204473+00:00,true,"[""append-only"", ""ledger"", ""ledger-model""]",CONSTRAINT
